codigo MALT;item MALT;unidad;rubro MALT;candidato del sistema;unidad;parecido;COPIAR? (si/no)
3.11;Retiro de Escombros;Cam;DEMOLICIONES;ACARREO Y RETIRO DE ESCOMBROS;Unidad;0,77;
19.2.1.2;PH2 - Portón Setin - 3.00x2,50m;un;CARPINTERIAS;PORTÓN SETIN;Unidad;0,74;
10.1.7.1;Inodoro c/deposito;un;INSTALACION SANITARIA;PROVISION Y COLOCACION DE INODORO CON DEPOSITO;u;0,72;
9.1;Revoque Azotado Impermeable (esp 0,5cm);m2;REVOQUES;REVOQUE INTERIOR COMPLETO CON AZOTADO IMPERMEABLE;m2;0,70;
10.1.7.2;Inodoro Disca c/deposito;un;INSTALACION SANITARIA;PROVISION Y COLOCACION DE INODORO CON DEPOSITO;u;0,69;
10.4.1.6;Griferia Lavatorio (AF);un;INSTALACION SANITARIA;PROVISION Y COLOCACION DE LAVATORIO CON GRIFERIA;u;0,69;
10.4.1.5;Griferia Lavatorio (AF Y AC);un;INSTALACION SANITARIA;PROVISION Y COLOCACION DE LAVATORIO CON GRIFERIA;u;0,66;
5.17;Vigas de HºAº de elevación.;m3;ESTRUCTURA RESISTENTE;VIGAS DE FUNDACIÓN HºAº;m3;0,66;
18.5;Revestim. Porcelanato Pulido Int.;m2;REVESTIMIENTOS;PORCELANATO PULIDO;m2;0,64;
18.6;Revestim. Porcelanato Pulido Ext.;m2;REVESTIMIENTOS;PORCELANATO PULIDO;m2;0,64;
5.22;Vigas HºAº - PILETA;m3;ESTRUCTURA RESISTENTE;VIGAS DE FUNDACIÓN HºAº;m3;0,61;
2.6;Limpieza Final Dptos y Palieres;Nivel;SEGURIDAD MANTENIMIENTO Y LOGISTICA INTERNA;LIMPIEZA FINAL DE OBRA;Gl;0,61;
4.4;Excavación P/Cabezales., V°E°, Bases-A MAQUINA;m3;EXCAVACION Y MOVIMIENTO DE SUELOS;EXCAVACIÓN DE BASES AISLADAS;m3;0,60;
4.5;Excavación P/Cabezales., V°E°, Bases-A MANO;m3;EXCAVACION Y MOVIMIENTO DE SUELOS;EXCAVACIÓN DE BASES AISLADAS;m3;0,60;
14.2;Placa de Roca de yeso comun Junta tomada suspendido;m2;CIELORRASOS;TABIQUE PLACA ROCA DE YESO JUNTA TOMADA;m2;0,60;
21.5;Latex Exterior s/Cielorraso Durlock;m2;PINTURAS;LATEX CIELORRASO;m2;0,57;
5.8;Bases Aisladas de HºAº.;m3;ESTRUCTURA RESISTENTE;EXCAVACIÓN DE BASES AISLADAS;m3;0,57;
15.2;Carpeta Cemento Alisada;m2;CARPETAS;CARPETA CEMENTO ALISADO ARMADO;m2;0,57;
15.3;Carpeta Cemento Rodillada;m2;CARPETAS;CARPETA CEMENTO ALISADO ARMADO;m2;0,57;
4.2;Desmonte de suelo a maquina;m3;EXCAVACION Y MOVIMIENTO DE SUELOS;DESMONTE;m3;0,56;
